"Region","Category","Year","Value"
"Yunnan","medicalbed",2024,37.42
"Yunnan","medicalbed",2023,35.99
"Yunnan","medicalbed",2022,34.12
"Yunnan","medicalbed",2021,33.03
"Yunnan","medicalbed",2020,32.52
"Yunnan","medicalbed",2019,31.19
"Yunnan","medicalbed",2018,29.12
"Yunnan","medicalbed",2017,27.48
"Yunnan","medicalbed",2016,25.36
"Tibet","medicalbed",2024,2.15
"Tibet","medicalbed",2023,2.16
"Tibet","medicalbed",2022,2
"Tibet","medicalbed",2021,1.97
"Tibet","medicalbed",2020,1.86
"Tibet","medicalbed",2019,1.71
"Tibet","medicalbed",2018,1.68
"Tibet","medicalbed",2017,1.61
"Tibet","medicalbed",2016,1.45
"Shaanxi","medicalbed",2024,30.97
"Shaanxi","medicalbed",2023,30.62
"Shaanxi","medicalbed",2022,28.96
"Shaanxi","medicalbed",2021,28.45
"Shaanxi","medicalbed",2020,27.24
"Shaanxi","medicalbed",2019,26.58
"Shaanxi","medicalbed",2018,25.37
"Shaanxi","medicalbed",2017,24.13
"Shaanxi","medicalbed",2016,22.54
"Gansu","medicalbed",2024,20.77
"Gansu","medicalbed",2023,20.4
"Gansu","medicalbed",2022,18.89
"Gansu","medicalbed",2021,18.32
"Gansu","medicalbed",2020,17.19
"Gansu","medicalbed",2019,18.12
"Gansu","medicalbed",2018,16.27
"Gansu","medicalbed",2017,14.66
"Gansu","medicalbed",2016,13.43
"Qinghai","medicalbed",2024,4.78
"Qinghai","medicalbed",2023,4.57
"Qinghai","medicalbed",2022,4.29
"Qinghai","medicalbed",2021,4.22
"Qinghai","medicalbed",2020,4.13
"Qinghai","medicalbed",2019,4.14
"Qinghai","medicalbed",2018,3.91
"Qinghai","medicalbed",2017,3.83
"Qinghai","medicalbed",2016,3.47
"Ningxia","medicalbed",2024,4.43
"Ningxia","medicalbed",2023,4.35
"Ningxia","medicalbed",2022,4.18
"Ningxia","medicalbed",2021,4.12
"Ningxia","medicalbed",2020,4.13
"Ningxia","medicalbed",2019,4.1
"Ningxia","medicalbed",2018,4.1
"Ningxia","medicalbed",2017,3.98
"Ningxia","medicalbed",2016,3.63
"Xinjiang","medicalbed",2024,20.22
"Xinjiang","medicalbed",2023,19.75
"Xinjiang","medicalbed",2022,17.96
"Xinjiang","medicalbed",2021,18.61
"Xinjiang","medicalbed",2020,18.15
"Xinjiang","medicalbed",2019,18.64
"Xinjiang","medicalbed",2018,17.89
"Xinjiang","medicalbed",2017,16.76
"Xinjiang","medicalbed",2016,15.69
"Beijing","elderpop",2024,3703
"Beijing","elderpop",2023,3650
"Beijing","elderpop",2022,3382
"Beijing","elderpop",2021,3300
"Beijing","elderpop",2020,NA
"Beijing","elderpop",2019,1909
"Beijing","elderpop",2018,1989
"Beijing","elderpop",2017,2225
"Beijing","elderpop",2016,2129
"Tianjin","elderpop",2024,2606
"Tianjin","elderpop",2023,2572
"Tianjin","elderpop",2022,2374
"Tianjin","elderpop",2021,2315
"Tianjin","elderpop",2020,NA
"Tianjin","elderpop",2019,1461
"Tianjin","elderpop",2018,1397
"Tianjin","elderpop",2017,1442
"Tianjin","elderpop",2016,1482
"Hebei","elderpop",2024,12498
"Hebei","elderpop",2023,12640
"Hebei","elderpop",2022,11885
"Hebei","elderpop",2021,11769
"Hebei","elderpop",2020,NA
"Hebei","elderpop",2019,7767
"Hebei","elderpop",2018,7854
"Hebei","elderpop",2017,7326
"Hebei","elderpop",2016,6845
"Shanxi","elderpop",2024,5598
"Shanxi","elderpop",2023,5549
"Shanxi","elderpop",2022,5163
"Shanxi","elderpop",2021,5043
"Shanxi","elderpop",2020,NA
"Shanxi","elderpop",2019,3190
"Shanxi","elderpop",2018,3147
"Shanxi","elderpop",2017,2746
"Shanxi","elderpop",2016,2688
"Inner Mongolia","elderpop",2024,3942
"Inner Mongolia","elderpop",2023,3899
"Inner Mongolia","elderpop",2022,3613
"Inner Mongolia","elderpop",2021,3518
"Inner Mongolia","elderpop",2020,NA
"Inner Mongolia","elderpop",2019,2013
"Inner Mongolia","elderpop",2018,2047
"Inner Mongolia","elderpop",2017,2260
"Inner Mongolia","elderpop",2016,1995
"Liaoning","elderpop",2024,9366
"Liaoning","elderpop",2023,9273
"Liaoning","elderpop",2022,8605
"Liaoning","elderpop",2021,8424
"Liaoning","elderpop",2020,NA
"Liaoning","elderpop",2019,5382
"Liaoning","elderpop",2018,5353
"Liaoning","elderpop",2017,5063
"Liaoning","elderpop",2016,4849
"Jilin","elderpop",2024,4629
"Jilin","elderpop",2023,4594
"Jilin","elderpop",2022,4269
"Jilin","elderpop",2021,4205
"Jilin","elderpop",2020,NA
"Jilin","elderpop",2019,2783
"Jilin","elderpop",2018,2743
"Jilin","elderpop",2017,2735
"Jilin","elderpop",2016,2490
"Heilongjiang","elderpop",2024,6051
"Heilongjiang","elderpop",2023,6065
"Heilongjiang","elderpop",2022,5657
"Heilongjiang","elderpop",2021,5553
"Heilongjiang","elderpop",2020,NA
"Heilongjiang","elderpop",2019,4020
"Heilongjiang","elderpop",2018,3780
"Heilongjiang","elderpop",2017,3793
"Heilongjiang","elderpop",2016,3805
"Shanghai","elderpop",2024,5169
"Shanghai","elderpop",2023,5123
"Shanghai","elderpop",2022,4732
"Shanghai","elderpop",2021,4600
"Shanghai","elderpop",2020,NA
"Shanghai","elderpop",2019,3055
"Shanghai","elderpop",2018,2972
"Shanghai","elderpop",2017,2827
"Shanghai","elderpop",2016,2617
"Jiangsu","elderpop",2024,16478
"Jiangsu","elderpop",2023,16569
"Jiangsu","elderpop",2022,15586
"Jiangsu","elderpop",2021,15354
"Jiangsu","elderpop",2020,NA
"Jiangsu","elderpop",2019,9447
"Jiangsu","elderpop",2018,9435
"Jiangsu","elderpop",2017,9210
"Jiangsu","elderpop",2016,9048
"Zhejiang","elderpop",2024,10789
"Zhejiang","elderpop",2023,10756
"Zhejiang","elderpop",2022,10046
"Zhejiang","elderpop",2021,9815
"Zhejiang","elderpop",2020,NA
"Zhejiang","elderpop",2019,6374
"Zhejiang","elderpop",2018,6108
"Zhejiang","elderpop",2017,5812
"Zhejiang","elderpop",2016,5449
"Anhui","elderpop",2024,9885
"Anhui","elderpop",2023,10228
"Anhui","elderpop",2022,9912
"Anhui","elderpop",2021,9997
"Anhui","elderpop",2020,NA
"Anhui","elderpop",2019,6923
"Anhui","elderpop",2018,6840
"Anhui","elderpop",2017,6713
"Anhui","elderpop",2016,5969
"Fujian","elderpop",2024,5591
"Fujian","elderpop",2023,5561
"Fujian","elderpop",2022,5231
"Fujian","elderpop",2021,5117
"Fujian","elderpop",2020,NA
"Fujian","elderpop",2019,3086
"Fujian","elderpop",2018,3065
"Fujian","elderpop",2017,3069
"Fujian","elderpop",2016,3231
"Jiangxi","elderpop",2024,6435
"Jiangxi","elderpop",2023,6411
"Jiangxi","elderpop",2022,6044
"Jiangxi","elderpop",2021,5936
"Jiangxi","elderpop",2020,NA
"Jiangxi","elderpop",2019,3686
"Jiangxi","elderpop",2018,3707
"Jiangxi","elderpop",2017,3723
"Jiangxi","elderpop",2016,3702
"Shandong","elderpop",2024,18400
"Shandong","elderpop",2023,18577
"Shandong","elderpop",2022,17407
"Shandong","elderpop",2021,17152
"Shandong","elderpop",2020,NA
"Shandong","elderpop",2019,12402
"Shandong","elderpop",2018,12495
"Shandong","elderpop",2017,10672
"Shandong","elderpop",2016,9725
"Henan","elderpop",2024,15144
"Henan","elderpop",2023,15389
"Henan","elderpop",2022,14712
"Henan","elderpop",2021,14644
"Henan","elderpop",2020,NA
"Henan","elderpop",2019,8711
"Henan","elderpop",2018,8698
"Henan","elderpop",2017,8567
"Henan","elderpop",2016,8075
"Hubei","elderpop",2024,10385
"Hubei","elderpop",2023,10418
"Hubei","elderpop",2022,9753
"Hubei","elderpop",2021,9524
"Hubei","elderpop",2020,NA
"Hubei","elderpop",2019,6026
"Hubei","elderpop",2018,6059
"Hubei","elderpop",2017,5955
"Hubei","elderpop",2016,5716
"Hunan","elderpop",2024,11228
"Hunan","elderpop",2023,11386
"Hunan","elderpop",2022,10904
"Hunan","elderpop",2021,10849
"Hunan","elderpop",2020,NA
"Hunan","elderpop",2019,7078
"Hunan","elderpop",2018,7057
"Hunan","elderpop",2017,6895
"Hunan","elderpop",2016,6814
"Guangdong","elderpop",2024,13399
"Guangdong","elderpop",2023,13330
"Guangdong","elderpop",2022,12440
"Guangdong","elderpop",2021,12252
"Guangdong","elderpop",2020,NA
"Guangdong","elderpop",2019,7672
"Guangdong","elderpop",2018,7687
